Year,RoundNumber,EventName,TrainingRaces,TrainingWindows,ValidationWindows,FeaturesUsed,MAE,RMSE,Baseline MAE,Baseline improvement %,TrainingSeconds
2025,3,Japanese Grand Prix,149,28778,180,148,1.2230307669010292,1.8058093888291906,1.0888888888888888,-12.319152062339425,21.354674899950624
2025,4,Bahrain Grand Prix,150,28958,198,148,1.5169110312718725,2.218031790860642,1.8484848484848484,17.937599947587216,22.019464100012556
2025,5,Saudi Arabian Grand Prix,151,29156,158,148,0.9668685396949748,1.4468648150411771,1.0759493670886076,10.1381004283494,21.719057100010104
2025,6,Miami Grand Prix,152,29314,175,148,0.6744361711320864,1.0156352191791709,0.5371428571428571,-25.559925476718217,20.03806169994641
2025,7,Emilia Romagna Grand Prix,153,29489,209,148,1.3785301228054858,2.218242077312248,1.4641148325358853,5.84549161230506,19.432481699972413
2025,8,Monaco Grand Prix,154,29698,258,148,0.7353856160359433,1.1691269536438766,0.5697674418604651,-29.067679549165558,19.535010599996895
2025,9,Spanish Grand Prix,155,29956,217,148,1.194192160716676,1.7193605046213507,1.391705069124424,14.192152690225589,19.517848399933428
2025,10,Canadian Grand Prix,156,30173,241,148,1.3040075894394583,2.0253834731232665,1.3195020746887967,1.1742675927957706,19.61217169999145
2025,11,Austrian Grand Prix,157,30414,200,148,1.1587846549860292,1.738213614072912,1.275,9.114929020703583,19.84529530000873
2025,12,British Grand Prix,158,30614,140,148,1.4415528262056965,2.2891030161579957,1.3785714285714286,-4.568598792123061,18.68243009992875
2025,13,Belgian Grand Prix,159,30754,140,148,0.9981252392220454,1.686745936412724,0.7714285714285715,-29.38660508433922,20.27291800000239
2025,14,Hungarian Grand Prix,160,30894,245,148,1.1274966565464355,1.7065720258219057,1.1346938775510205,0.6342874626342874,21.79033729992807
2025,15,Dutch Grand Prix,161,31139,244,148,1.0124817028894963,1.733855861211401,0.889344262295082,-13.845868896330458,22.666785500012338
2025,16,Italian Grand Prix,162,31383,165,148,1.2712312835309634,1.894600032579331,1.2787878787878788,0.5909185864412542,21.121721899951808
2025,17,Azerbaijan Grand Prix,163,31548,171,148,1.1137958987459642,1.5598241601981013,0.9824561403508771,-13.368511122357074,21.712526299990714
2025,18,Singapore Grand Prix,164,31719,220,148,1.135327104680036,1.7060421102845076,1.1,-3.2115549709123505,22.111212499905378
2025,19,United States Grand Prix,165,31939,190,148,1.089366031774197,1.6853176586861751,0.9263157894736842,-17.60201479380537,18.469002099940553
2025,20,Mexico City Grand Prix,166,32129,229,148,1.0223354244653784,1.6508770832199047,1.0829694323144106,5.598866047350147,19.768487100023776
2025,21,São Paulo Grand Prix,167,32358,227,148,1.59363562203056,2.2727347564328495,1.7621145374449338,9.561178449765713,19.01406479999423
2025,22,Las Vegas Grand Prix,168,32585,157,148,1.1591463094935326,1.6453622000821158,0.9681528662420382,-19.727612230581986,19.51260070002172
2025,23,Qatar Grand Prix,169,32742,187,148,1.1826483906093688,1.9119331214363333,0.7807486631016043,-51.47619797530956,20.838317300076596
2025,24,Abu Dhabi Grand Prix,170,32929,200,148,1.4959883842152342,2.39316623772322,1.78,15.955708751953138,20.637485299957916
2026,1,Australian Grand Prix,171,33129,173,148,0.7567117815892898,1.1143257442775016,0.6589595375722543,-14.83433176749748,24.023032099939883
2026,2,Chinese Grand Prix,172,33302,163,148,1.0737219687858381,1.6054532726257835,1.1226993865030674,4.362469446944468,22.42803049995564
2026,3,Japanese Grand Prix,173,33465,188,148,0.9004765749154553,1.3481951024663519,0.8031914893617021,-12.112315287487148,20.996297000092454
2026,4,Miami Grand Prix,174,33653,180,148,0.7776570478224835,1.321181201573058,0.7888888888888889,1.4237545013753325,23.340986499912106
2026,5,Canadian Grand Prix,175,33833,211,148,0.7941800935042082,1.1831506587491223,0.5402843601895735,-46.99298221876133,22.576518599991687
2026,6,Monaco Grand Prix,176,34044,257,148,0.7064584370041589,1.1236329612525995,0.45525291828793774,-55.17933188894772,14.87648039998021
2026,7,Barcelona Grand Prix,177,34301,219,148,0.8944430818291897,1.318522936910014,0.9771689497716894,8.46587153243338,13.823373000021093
2026,8,Austrian Grand Prix,178,34520,242,148,0.9002146333198339,1.3881023505835695,0.9752066115702479,7.68985539686449,13.984694699989632
2026,9,British Grand Prix,179,34762,192,148,0.797344565284499,1.2079941680402841,0.7916666666666666,-0.7172082464630414,13.970819000038318
2026,10,Belgian Grand Prix,180,34954,138,148,0.8895955652780134,1.2909605560881976,1.065217391304348,16.48694693308446,13.96287739998661
2026,11,Hungarian Grand Prix,181,35092,254,148,0.8934643486951165,1.3269544921408887,1.0236220472440944,12.715405935169386,13.352868500049226
